Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",45.500000,-35.000000,0.000000,top
"H1","M2.5","MountingHole_M2.5",3.000000,-9.000000,0.000000,top
"H2","M2.5","MountingHole_M2.5",57.000000,-9.000000,0.000000,top
"H3","M2.5","MountingHole_M2.5",3.000000,-37.000000,0.000000,top
"H4","M2.5","MountingHole_M2.5",57.000000,-37.000000,0.000000,top
"J1","USB-C Power+Data","USB_C_Receptacle_GCT_USB4085",20.000000,-7.000000,0.000000,top
"U2","XIAO-ESP32-C5-SMD","XIAO-ESP32-C5-SMD",19.000000,-37.800000,0.000000,top
"U3","Wio-WM1110","Wio_WM1110_LGA80",49.000000,-22.000000,0.000000,top
"U4","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering",50.000000,-35.000000,0.000000,top
